,review_content
37,"I'll start by saying that if you're looking for a great story, you'll be disappointed. Shang-Chi is a pretty standard hero's journey at its core, which is a shame because the story could have been inspired by House of Flying Daggers and other wuxia titles.So why a rating so high? Because where the story falls, everything else excels.Shang-Chi is visually spectacular and a real treat for the eyes with some visuals that are incredibly distinct for the MCU. In regards to aesthetics, Black Panther walked so Shang-Chi could run a marathon.The fight scenes are all amazing. There's one weak fight, but it's meant to be weak, and they're all very long, which is great to see. One of the early ones went on for a solid 5 - 10 minutes, which was unexpected but far from disappointing.The first actual fight scene is my favourite in the MCU, and I was worried none of the others would top it, but they were all delightful to watch, and I was so glad they did a parallel of it later on. Either way, the writers went hard on the fight scenes and that paid off.In summary, the story is lacking, but I'm glad in a way because that allowed everything else to shine. And shine, it did. I hope future directors take lessons from the aesthetics and choreography of Shang-Chi."
38,"Lots of copied ideas from other films, and poorly executed. Very tossed together & cheaply not realistic.The usual opening scene of vast armies on plains with the usual barrage of arrows. The Army of the Ten Rings is led by the usual immortal who, as usual, steals ten arm bracelets which as usual are suppose to be hidden because of their power to, as usual bring immortality & create immense destructive force. The seen before Disney style fantasy creatures (same old lion, horse, dragons, odd little creatures). The usual electrical, laser, and pressure force as our weapons. Redundant, boring, cheap to digitally reproduce. Possessor supposedly over a thousand + years develops an army that for centuries (up until now) has spread to every corner of the world (odd, I never heard of them)."
39,"Cretton is an amazing director, and he like totally proves it here once again. I love the way he tells stories, and Shang-Chi is finally not just like every other mindless Disney film of their new big franchises. The action is worth it compared to other Marvel films, and the acting is to be expected as great considering at least Disney knows how to hire actors, albeit they don't let people often tell real stories. Go watch this! Somewhere! Anywhere! Everywhere!"
40,"What an amazing movie by Marvel Studios! I was hyped for the movie since the first teaser and the movie actually exceedes my expectations. Marvel has been showing its MARVELous magic since Ironman, and Shang-Chi is another diamond in the crown. After the end of MCU's phase 3, fans were eagerly waiting for a big movie. Black Widow was not up to the mark and Eternals also disappointed majority of fans, but Chang-Chi filled their gap. The action scenes were fresh and engaging. Martial arts combined with chinese mythological powers makes these action scenes more interesting. Character arc and story building were satisfying. They were not rushed or slow paced. Whole movie was engaging till the end. I would love to see another movie of this franchise."
41,"Hollywood trying to be too woke about being Chinese.Always hate it when they make a villain not really a villain as to not offend anyone. Shang Chi's father is supposed to be a pure villain, the mother storyline took away a lot from the real storyline.Awkwafina's character becoming a boss archer after one day of training was equally ridiculous.Hopefully if a sequel is made it will be darker, though I'll admit the Mandarin was a funny touch."
42,"Movie has a lot of stuff to keep you hooked.1. VFX. Whole movie is visually stunning
2. Stunt choreography is awesome. Probably the best in MCU so far imo.3. Background score. I felt goosebumps everytime the main theme kicks in. Soundtrack is good too.4. Decent acting except the one who played Shang chi's father who had a menacing screen presenceDespite of the perfectly blended Chinese culture and the MCU's successful (so far) action formula, this movie isn't free from cliche moments. I just wished the second half was less predictable and had something more to offer."
43,"Whoa! I watched Shang-Chi because I wanted to put something on in the background and I just ended up getting invested!I would go to say this is one of the best singular films in the MCU. I found films such as Thor and Black Panther slightly boring. They are full of information but I just couldn't get invested as much as I wanted too. I'd slightly fallen out of my obsession with the MCU over the past couple of years, but Shang-Chi could help bring my obsession back.It's about so many things at once, but the main plot is basically about Shang-Chi trying to find family with his friend Katie. That's the best way to describe it without minor spoilers. I believe this film really represented the culture well, and the scenery really helped to intrigue me to keep watching longer. The characters are all pretty likeable too and the fight scenes were amazing!A criticism I would have, which I have with many Marvel films, is that I feel like some scenes dragged on a little too long, but that's me really picking in details. I also found it hard to follow the plot at one point, but I soon picked back up what was happening.I really recommend this, even if you're not a fan of the MCU. I'd say it's one of Marvels strongest movies that has released recently! Really looking forward to where Marvel takes this series next."
44,One of the best marvel movies in a decade. Cinematography acting jokes background score everything is on point according to story scene & actors action scenes hand to hand combat is on another level.
45,"From Beginning to End I enjoyed this movie. It is well done, The characters are well written and honestly, I would love to see more Shang Chi and other characters in future marvel Movies and TV Shows. I love how Phase 4 is going so far, I can not wait to see more of the Expanding Marvel Cinematic Universe in Movies and TV Shows. Overall, Fantastic Film!"
46,"I thought this movie would suck honestly when i heard it was being made, i thought shang chi is a terrible character with no powers and then i always dread hollywood making asian movies lol.Im chinese by the way and when i finally watched it i was blown away!!! This was best movie of the year, maybe one of the best marvel movies that didnt involve a blockbuster teamup like avengers infinity wars and end game.So action packed, excellent script, insane graphic visuals, insane fighting choreography, alot of character depth and explorations. Well made indeed! This is the Black panther movie for all asians! I say all asians because chinese culture has affected all asian countries in the last 3000 years.Dont let the reviews bother you, alot of these people dont know what their talking about honestly. Seen 1 person mention theirs no villain But this movie takes villain into an indepth look. For every villain theirs a drive & purpose to why they do things and for this villain it involved love. Some may not be able to comprehend this as they view villains stone cold killers maybe or just destructive no emotion type of baddies.They wrote the script for this villain amazingly considering he was originally the Mandarin (a very stereotypical villain hated by asians). The clever way they were able to remove that racist heritage to this character was flawless, funny and amazing.I mean cmon it was hilarious the way the villain described how his name came.Some even complained they got lost during the whole movie which i found it hard to believe. I mean you must have Low IQ lmao go not understand n follow through the movie. From beginning to end it was a step through step process. Maybe they could have explored more about the magical lands but whois to say they wont in future movies?? All u needed to know was in the movie, and any other questions can be saved for the future just as most marvel movies always do.The fight scenes on the Bus were off the charts and so was the rest of it. I can see theirs many chinese people hating on this film cuz they feel the fighting style is too like Chinese movies fighting style But they dont get it. What made this movie very good was the amazing way they blended chinese and western movies together. The fight scenes was neither just chinese nor was it western, it was a perfect blend.This stories villajn was writting the way Thanos was but better. Thanos was not just crazy mad villain, he had purpose and feelings and goals that involved not just world domination or killing. Same with this villain, Tony Leung may have had not many lines in this movie but the way he carried his presence and the acting was outstanding.I have watched tony leung in hong kong movies for 30 years now and his acting is impeccable. He brought life to the Villain he played, and gave it a more down to earth and also relatable character portrayal. Anyone in his position in the movie would have had a chance to go his path, i know many might disagree but it was so easy to see how he deviated from the good path he took for some time back to evil. You just need to understand the character and his reasons and experiences.The main character Sima Liu i mean was pretty good choice, their were some scenes for fighting that looked to be him doing the stunts and it was amazing.I seen some complain that the movie should have been just mandarin but thats clearly a comment made by someone from China or mandarin speaking. To them they live in the old age where black is black, white is white, theirs no grey.Only way asians can move forward in hollywood is by a blend of both west n east.Maybe some people might hate it cause its so much asian characters n that its got mandarin language in it, then u got others who hate it cuz theirs english in it. Both groups need to grow up and live in the year 2021 cuz this movie was so successful because of the mixture of both cultures in 1.If this movie was just another straight chinese martial arts flick it would certainly not be successful in the west. This blend is what makes it open up to other races to watch and enjoy.The special effects of the movie was off the charts! Amazing!! The fighting too!This movie is the Black panther for asians. Its the opening door for asians to be introduced more commonly.If anyone in or from China reads this i think u should think hard to yourself, Do you want to see more chinese movies succeed in the future?? Cuz if so then u should ccheer this movie on cause its gonna open doors for chinese actors n actresses.China blocking this movie from playing makes no sense as the way for China to spread love is share their culture with all especially after the pandemic fiasco. This movie opens the doors of chinese culture up to westerners.So support this movie! And stop bashing it for unfounded selfish reasons."
47,"The music, the screenplay, the writing, the direction everything was on point. I went to a theatre to watch it and was literally stunned. I crave that background music. It's simply too good. Ultimately. Go for it. Best 2 hours you'll have. Wont regret it."
48,This film felt refreshing and didn't feel too much like a marvel movie. Felt like I was just watching a mythological modern film.I had a good time watching it. Only downside was some of the CGI felt very rushed at some points. But Iwas willing to overlook it as I think it is worth the watch.
49,"Everybody around me raved about this movie, but I watched it very late and now I'm slightly disappointed. It didn't live up to all the hype and all the praise but seemed very much like any other Marvel movie. But what I am truly impressed with, was the blend of martial arts in the MCU, it fit so perfectly. This wasn't just another movie with a sprinkle of Asian characters for representation, no this actually tells their story, speaks their language, and depicts the details. The fight scenes are fun, there is some light comedy, no gore, and the CGI was gooooood. The backstory and narration made the fantasy seem real.It pulled at my heartstrings when it connected to Iron Man, I did not see that coming though it certainly made up for my disappointment with Awkwafina (Katy). The movie had a lot of slow parts and parts where I was losing interest and seemed somewhat like a good vs evil movie? Come to think of it, it felt like a Disney movie trying to teach me about Asian cultures and the inherent good in the universe.I'll agree it was dramatic and stays with you as 20 minutes post the movie, I was trying to channel the universe with open palms and gentle hand motions. Not something I do every day."
50,"Shang-Chi (Simu Liu) discovers that his all-powerful and millennium-old father is about to launch an attack against the magical village where Shang-Chi's mother was born in the likely mistaken belief that his wife is not dead but is rather being held captive (there is more to the plot than one sentence can sum up but what does it matter... the story is just scaffolding for the special effects). Much fighting ensues but fortunately everyone eventually learns how to 'get along' when faced with a real threat. You have seen it all before: physics-defying martial arts, monsters who look like the recently swallowed strings of LED Christmas lights, conflicted heroes with wise-cracking 'comic relief' sidekicks (an awful Aquafina and an even more awful Ben Kingsley), giant melees featuring a variety of glowing weapons (but no blood), hyper-kinetic and hyper-implausible car/motorcycle chases, and a lot of clichéd wisecracks, tough-guy dialogue, poseur slo-mo, and heroic vogueing (we're treated to the venerable three-point power landing/slide a number of times). The only novel thing the film has to offer is the excellent rendering of mythological beasts from Chinese culture; otherwise, it's an overly-long (132 minutes, which is 120 minutes too much Aquafina), derivative, repetitive, and ultimately boring entry in the bloated, jejune Micky Mouse-Marvel superhero franchise."
51,"I love all the movies from them but Shang-Chi and The Legend of The Ten Rings is one of my favorite marvel movies, it really managed to make a very nice movie, the story is usually a gorgeous one, the characters are very nice and you become very invested in the movie.I was amazed at what good fight sequences are in the movie like this, the best since The Avengers 2012 and Captain America: The Winter Soldier 2014 maybe even better.The CGI is incredible, I only saw such special effects on Avatar.I have to say that I ran and saw the fight on the bus 5 times, it's awesome ... it manages to give you an energy boost, so cool
The story is extraordinary, Shang-Chi confronts the past he thought he left behind, when his father wants to reunite his lost family.Xu Wenwu played by Tony Leung is such a good villain, you understand why he does this, you empathize with him and although you know that the way he acts is wrong you understand his pain. Besides being a villain he is also my father and everything he wants to release his wife.A very good villain, certainly one of the best villains of this year.This movie blow me away, I love it. Lots of love from Bangladesh 🇧🇩"
52,"Totally unpopular opinion here and I might be the only one, but I really didn't like it; even going into it with no expectations. I wasn't too keen on the movie in the first place, but I was swayed by everybody who watched it and said it was brilliant. What a mistake. I felt the movie was incredibly dull, generic, utterly cliched and stereotyped. Crap characters, formulaic plot, and not even all that funny. As soon as the movie opened with a Chinese battle banner and the twang of guzheng notes, I knew it would be bad. The action and fight scenes aren't even all that great: they relied way too much on CG. I feel like the action was nothing special: Jackie Chan (and Yuen Wah whom you'll see in Shang Chi) in his hey-day produced way better action and fights without CG. Back when The Matrix first came out, that was mind-blowing action that Western audiences haven't seen before. If you've seen any number of Hong Kong martial arts movies you'll know what I mean. The third act of the movie was a total rip-off of the last battle in How to Train Your Dragon. Also an absolute waste of great actors like Michelle Yeoh who was given nothing to do, she practically dialled in her part. Positives though: Tony Leung. He's the one redeeming grace of this terrible and lazy movie."
53,"One again the studio brings jokes and the dazzling visuals over a good character development. After one hour, you don't care for the characters. Dysfunctional drama in the family and the chosen one - we have seen this a million times.This is the first time I felt sleepy for an action movie. I feel like i wasted my money, despite availing the Super Tuesday offer. The Suicide Squad was far much better in terms of storyboard.Over-rated, like Black Panther
What's next - Shang-Chi: Origins?"
54,"People voted 8-10, rly? For what? Story line is primitive and the gaps filled with some martial arts. ""and the Legend of the Ten Rings"" there was no any legend at all, just rings which give some super powers we see them in the begging of the movie and at the end. Producers added Ben Kingsley and Benedict Wong to tailor Shang-Chi to other MCU movies, but it feels so disconnected like Billy Bob Thornton as a Santa in Bad Santa. Michelle Yeoh is playing Crouching Tiger again, it's so SAD that Hollywood does not give her non-kung-fu roles, she has talent for sure.In short, after 1hr I started to check my watch because the whole thing was so boring I just wanted it to end."
55,"I was excited for Shang-Chi. Infinity War and Endgame set the bar very high at the end of Phase 3. The MCU shows have been a mixed bag but Shang-Chi seemed exciting because the director has a decent track record and I hadn't heard of the character. I thought it would be a good way for the MCU to expand.But this is one of the most by-the-numbers superhero movies I've ever seen. Practically everything about it falls flat or feels superficial. The humour is obvious and lazy. The fighting is cool but the camera is too hyperactive to let me properly enjoy it. The CGI is over-used and seldom feels remotely convincing nor interesting.Although there's some backstory, it's boring and confusing. It's one thing to be told what happened in the past. It's much better if we understand why choices were made and feel the passage of time.As it is, I didn't relate to any of the characters much at all. Shaun and Katy are just annoying and frivolous. The villain is stubborn and not particularly intimidating. I probably liked Kingsley more than anyone else and his character could easily be removed without affecting the plot.The staging is incredibly artificial. So many shots contain characters simply standing in a line. Or walking in a line. It never feels natural. One part has the bad guys (Are they bad guys? Who cares?) park their jeeps in a row and then get out and stand in a row while the other army stand in, you guessed it, a row. This keeps happening.Some of the creature designs are kind of cool, like the dragons which look like stylised drawings rather than real creatures. But they lead nowhere. They aren't developed, nor hyped up before, just thrown in your face. Including the massive dragons at the end. To make a fight between giant, flying dragons boring is quite the achievement, but Shang-Chi pulls it off.Cliches abound in this bore-fest. The comedic relief sidekick learns archery in a day or two and saves the day with a ridiculous shot. Why didn't any of the archers who had years of training do the same thing? How can an arrow travel that far so easily? It cheapens everything. They didn't earn it, they just did it because that's what movies do, right?The physics are awful. Why do I care? Well, reality matters. I much prefer movies where things actually make sense than those where the pixels are having a seizure, characters say one-liners and there are no stakes or consistency at all. Ignoring physics means making up random events with no real danger, suspense or skill, on the part of the characters or the screenwriters.Shang-Chi is one of the most superficial movies I've seen for a while. Great entertainment for 10-year-olds, perhaps, but utterly dull to most true movie enthusiasts. The moments are forced and predictable. There's no magic, the music's forgettable, the acting and script tick boxes rather than engage you.At best, it has some colourful action and a few funny lines. It shows just how skillfully made good action movies are, including the Russo brothers MCU movies."
56,"Shang-chi and the Legend of the Ten Rings review U/A
Starring Simu Liu,Awkwafina,Tony Leung.Rating=4/5
Positive
1. Simu Liu Acting
2. Casting
3. Fight Scenes
4. An entertaining 1st and 2nd half
5. Good Direction
6. Good Screenplay
7. Good Cinematography
8. Good Visuals
9. Music.Negative
1. Lag.2. Some logic mistakes.Verdict=Shang-chi is a super treat for marvel fans
Shang-chi=Superru
Sabharish G
Story:
Shang-chi(Simu Liu) who is living in USA for 10 years with his best friend Katy(Awkwafina). After sometimee,he should go to his native town because of some reasons. How did he got that ten rings? THIS IS THE STORY.Must Watch!"
57,"Personally this is top 3 comic movie.As a fan of Chinese cinema from the 70's onwards the martial arts in this film was fluid.Now if only DC would do a kung fu based film, it's got by far the greatest martial arts masters on its roster.Shiva, David Cain, Bronze Tiger, Karate Kid, Casandra Cain, Richard Dragon and on and on.Maybe a real film of soul of the dragon."
58,I found this very slow moving and boring.Special effects are silly looking.Drags on. Ends. Tells you this is the start of a whole new Marvel strand. Oh dear.
59,"Started like a mix between martial art and the marvel universe. I found it something special and liked it a lot just until the journey starts and another world opens. From there on we came into a fiction world with dragons and monsters.It's there that this flick lost my attention towards the story. It takes a while before the action comes back in. But once the fights are on, the effects are really stunning.Mixed feelings aboutthe result, not bada fter all but with the other world coming in, it lost some points in the rating for me.Nevertheless, some funny parts here and there added and they worked out fine.Gore 0/5
Nudity 0/5
Effects 5/5
Story 3/5
Comedy 1/5."
60,"The movie is fine and thats about it. It is way overhyped and marvel fans just spam review 10 stars on anything marvel related for some weird reason.I dont know what else to say other than the story was predictable and the only good part was the visuals, the fighting and some of the actors."
61,"Solid pop corn film. Although the director tried not to look like a standard Marvel movie, I think he only succeeded to some extent. The first half of the film was very good, the story, and especially the impressive fight scenes. However, later in the film we constantly get some new elements, the story expands, there is not always an explanation, and the worst part of the film was my last fight because I think they went too far with special effects, for me personally it was not watchable. The bad guys overall were just solid, nothing special. Of course, at the end of the film we have a scene that shows us how to look for (at least) another film."
62,"Great start, especially the fight choreography between Shang Chi's parents. That was sheer awesome and so was the fight in bus where we got good humour as a bonus.But then story gets dragged out and turns weird.Instead of taking us to Shang Chi's universe which is about martial arts... we are to Dr. Strange's.Dark Door, a soul-consuming monster from another realm... It was like they borrowed elements just for the hell of it.Expected so much..."
63,The movie was awesome.much better then i expected............action was awesome and the plot was awesome too......acting was quite good.highly recomend seeing this.
64,"Best movie of the year. I waited for that kind of movie the whole year. It has comedy, fantasy, action, it keeps you on your toes, ... just great. Can't wait for part two."
65,"Shang-Chi is arguably the most original and entertaining origin story that Marvel's delivered in quite some time. Coming from someone who's slowly starting to get superhero fatigue from both sides of the aisle, this one delivers. It's a spectacle, and has a family drama that feel's Shakespearean at times. In many ways this is how I wanted the live-action version of Mulan to be."
66,"I went into this hoping for fresh ideas but with low expectations and BOY was I surprised. This film was amazing! The casting, script, acting and everything else in between. Marvel really smashed this."
67,"Judging by the level of other Marvel movies this was definitely a miss.There is no humour. No sense of fun. It feels like a generic kung fu movie and that we have seen it all before.. I saw the ending way before we got there and above all, it was boring.Awkwafina was intensely annoying as ever with her grating personality and spouting exposition all the time.Marvel are really missing the mark with a lot of their latest offerings, just phoning it in like with Star Wars movies."
68,"The movie was entertaining to some degree and followed the standard Marvel Universe formula. Trite, current day pop cultural references and jokes during the first half of the movie were cheap and certainly will be lost on audiences of the future. A few idiots in the theatre guffawed loudly at most of them. As usual, though, the women were strong, kind and intelligent and the men were dumb and evil. Are we to believe that the most evil man in the Universe, Xi, is going to change his evil ways and that his wife would have even married a mass murderer on the scale of Genghis Kahn or Vlad the Impaler? Of course she's killed by his enemies and he returns to a life of evil and sends his henchmen to kill his own children to retrieve some necklaces so he can read a map. I will say Xi was a badass, as were Shang's sister, Aunt, and pretty much every other character compared to Shang, who was soft and definitely not superhero material. Awkwafina was funny and entertaining as usual, overshadowing Shang in most scenes as his character was so forgettably boring. Even his Aunt could kick his butt. Loved Ben Kingsley as the Mandarin, extremely funny and his performance was genius. The outcome was the usual for Marvel Universe and even the pre-view for the next movie during the credits was lame; I guess they could only get Mark Ruffalo and Brie Larson, perhaps the only two Marvel Universe characters lamer than Shang, to set up the next movie."
69,"Haven't been much of a Marvel guy even with their biggest event films, but Shang Chi is solid. Story moves quick, lots of great characters, almost nonstop action scenes, and a finale that they hid from the trailers. I was definitely way more into it than I thought I'd be. Props to the team on this one!"
70,"An amazing movie (Original, great cast, nice soundtrack, CGI is just pure eye candy, good comical releaf as usual) and great addition to the Marvel Cinematic Universe!!! Can't wait for what's to come!"
71,"Shang-chi and the Legend of the Ten Rings review U/A
Starring Simu Liu,Awkwafina,Tony Leung.Rating=4/5
Positive
1. Simu Liu Acting
2. Casting
3. Fight Scenes
4. An entertaining 1st and 2nd half
5. Good Direction
6. Good Screenplay
7. Good Cinematography
8. Good Visuals
9. Music.Negative
1. Lag.2. Some logic mistakes.Verdict=Shang-chi is a super treat for marvel fans.Shang-chi=Superru.Sabharish G.Story:
Shang-chi(Simu Liu) who is living in USA for 10 years with his best friend Katy(Awkwafina). After sometimee,he should go to his native town because of some reasons. How did he got that ten rings? THIS IS THE STORY.Must Watch!"
72,"Shang-Chi and the Legend of the Ten Rings (2021)Well what a pleasant surprise, very much in the style of Black Panther, this origin story was really great from start to finish.I saw this at the 3D 4DX at the O2 and we were thrown about, blown on, rained on and every other sensation at every turn it was fab-u-lus!We had some great acting some great humour and plenty of ""magic"", for Marvel fans after the lacklustre Black Widow, the disaster of the Winter Soldier. Two goodens in a row what with Snake Eyes!The fight scenes we well worked through and the opening bus sequence was very memorable. I don't thing there was anything I didn't like about this movie so I'm giving 10 outta 1."
73,"I didn't intended to watch this as I thought, it is redundant,MCU really doesn't need to include this. Though this is not connected to avengers and entirely included in MCU, from my perceptive but however, I loved it. This story, actions and visuals are amazing. Story is simple but so beautifully presented."
74,"""Shang-Chi and the Legend of the Ten Rings"" is one of the best productions of Marvel Studios. I had very big expectations for this movie and it didn't disappoint, mostly because it's based on asian people and martial arts and I am a very big fan of this genre. Only the idea to make a Marvel's movie which is based on martial arts is very interesting, even If there are already some comics on which this movie is based on.The movie has all you could expect from a movie made of Marvel, but the special effects and the CGI are the strongest points of this one. I even regret it that I didn't watch it in a cinema, because it's clear that the movie has been made to put into the light the enormous ammount of special effects, on a big screen. I've also been impressed by the acting and even the storyline it's not bad. It's clear enough that is has been put a lot of effort in the well-making of this movie and it seems to me that they really achieved what they've wanted to.""Shang-Chi and the Legend of the Ten Rings"" it's a movie that shines through it's CGI, acting and storytelling."
75,I thought it was a great hero movie. It developed the character as well as others and felt like the story was complete. This story was over and now it's time for the next.
76,"Best fight scenes since the civil war airport scene. They mess up simply by trying to make the character 10 years younger then the actor is. But aside from that I thought it was awesome. Plenty of cool action fight scenes, goes a little off the rails at the end with way too much cgi for what was a relatively grounded movie to start. Great addition to MCU , especially after the quality level the shows have been."
77,What more do you want!What more do you want!A must watch for all ages and especially for those who don't like the typical SuperHero Marvel movies...
78,"The very first question to be asked would be, ""Why was this movie even made in the first place?"" It's one of those ones that tries to be too much and ultimately fails at everything. It starts off as a love story, then turns into ""Filthy Rich Asians,"" and then ends as a conventional action pic. A romantic feminist vibe is terribly present throughout the entire picture, which wouldn't be that bad if that was all it was about. But this movie has trouble settling on one single narrative. It's almost like an asian version of ""Rocky Horror Picture Show."" As is typical of this current generation of filmmaking, it's just another ""People running around doing things"" movie. The market is just saturated with these SFX garbage movies which this summer was full of!!"
79,"I watched this movie after Twitter was claiming it to be the best movie ever, so I went with high expectations, after watching what I found is movie was mediocre at best, the CGI was great but apart from it everything is just ok at the best, I didn't connect with any character at all. To be honest wait for the film to come on streaming services, not worth it to go to the cinema."
80,Marvel are in desperate need of good writers!The story and script are both confusing and beyond cheesey !It really saddens me as I was once a big Marvelfan but since the passing of Stan Lee and Disney taking over it has produced a lot of trash!The Marvel I once enjoyed will never be the same it has been turned into yet another Disneyfied production.
81,"I liked this movie, one of the first American movie where a lot of the dialog is in Chinese. The movie in it self is not fantastic but is has it's moments. I just can't stop thinking about why this hd to be set in the Marvel universe, it makes no sense to me...but then I am no Marvel fan. I think it would have been much better a completely chinese movie set in a different universe separate from Marvel. But hey, this is an American movie after all."
82,"Overall this movie exceeded my expectations. I wish I had gone to see it in theatres because visually, this movie is stunning. All the fight scenes, especially the ending would have looked even cooler on the big screen.But stepping back and thinking about the actual story, it's kind of random, predictable at times and I'm not seeing how they're going to incorporate it into the rest of the MCU.The other thing is the fight scenes: the choreography, the cinematography, the effects, they were great, and I think they knew that, so they took advantage of it. During the first half of the movie there would be a new fight scene every fifteen minutes that looked fantastic, but seemed to last just a bit too long.All in all I liked it. The acting was pretty good, the pacing was reasonable, the soundtrack was unique and the visual effects were a strongpoint It was a good movie."
83,"The goal of an MCU solo film is to sell the audience on a new character and power system. This movie does both perfectly, within the first 30 minutes we are drawn to Shang as a character and that lasts throughout the entire movie. The fight scenes have love and care poured into them and I hope they bring this team back for future MCU movies involving Shang because they pay homage to old kung fu movies beautifully."
84,"Well in short
This comes under my top 5 worst marvel movie
My god.. Nothing interesting in this movie, not even the final battle😑
There's like no suspense at all
And the main characters going to learn everything in like minutes, no need Of training, just be main character😑"
85,This new marvel movie is just bad. The main actor can't act and it's more about the side characters then him.
86,"Truly an amazing movie! This movie depicts family very well. The visual effects are stunning, the martial arts are incredible, and there is just enough humor in it to relieve some of the darker notes. I can't wait for the sequel!"
87,"It is not many times that you come out of the cinema with your friends and laugh about how bad a movie is but here we are. This is the Lowest of the low and this franchise has become nothing but a joke. Katy is the worst character in cinema history just shut up please jar jar 2.0, this is a disgrace to my eyes and dc is clear I see that now. If you like this movie you have problems."
88,"This movie was stunning. From the visual effects to the heart of the story to the phenomenal cast. I laughed, I cried and sat on the edge of my seat. Well worth taking the risk during the pandemic to go see this one in the theater. The music was great as well. Will definitely buy it when it comes out for rewatch. One of the best Marvel movies IMO."
89,"At last , after all super heroes , being overused by tired clichés , I'm really impressed by the introduction of traditional Chinese martial arts fantasy creature feature new Marvel film ! Stunningly visually beautiful , with some crazy fights ! One of the very best!!!"
90,"Keeping it short. This movie had it all. Great story, writing, direction, acting, villain, comedy and fight direction.I'm a huge old school kung-fu movie fan and I was a bit sceptical about how they will show the fight scenes. Glad they kept it authentic with the fight director (who worked with Jackie Chan a lot). It was insane.The story itself was superb. The villain's character development was amazing. The direction was not rushed and at the same time it didn't bore me for a single second.Best non-avengers MCU movie for me. I can watch this again today after watching it last night."
91,"A tad too heavy on the CGI and a bit too much wire work, making it more like ""crouching tiger"" in some of the fight scenes, but definitely one I'll enjoy re-watching."
92,"As an adult, I think this movie is a complete mess. The ancient master gets knocked out quickly while the car driver woman with 2 days of training saves the day. Everybody should point this as a big problem so maybe they would stop making this kind of situation in several recent movies. But people are always praising and giving good scores. I really can't understand. The film industry will not improve this way."
93,"MCU aside, this movie stands alone as an epic masterpiece on its own! The fight scenes were visually stunning, great acting, great story highly reccomend!"
94,"Incredibly boring and indifferent film, with stereotypical characters and a predictable story, following the superheroes formula. I watched the 3-D version, which looked like bad animation and completely distanced me from the film. The only redeeming qualities were a few inspired shots and the inclusion of some decent actors -- especially the wonderful Michelle Yeoh."
95,"I loved the cast, music, plot, everything. I especially loved Xialing because she was so powerful. Morris was also so so adorable. I really enjoyed all the action, as well as some comedic scenes and I'm so ready for the next Shang-Chi movie!"
96,This was fantastic. Saw it in theaters then again as soon as it was out on streaming too! The story and characters were great to explore; the action sequences and special effects keep you immersed; and the actors all made the story come to life.
97,"The buzz was high on this film but I kept my expectations modest. It started off as a charming story, well told and authentic. The action, and the acting were fine. Then the action dipped a little in the middle. But, once Shang Chi and his gang escaped the stronghold of the 10 rings, the movie really took off. It was a magnificent freaking story. The legend, the fighting, the story, and the tremendous acting were all there. This is as good an MCU movie as there ever was. I was totally blown away by it. It was a great idea to have top actors in the movie and let them do their thing. The leads Simu Liu and Akwafina are solid but the burden of carrying the movie isn't entirely placed on their shoulders. Their parents and auntie (Tony Leung, Fala Chen, and Michelle Yeoh) have to do some of the dramatic heavy lifting."
98,"The Action scenes were on par with the crouching tiger hidden dragon and other awesome awesome Kung Fu movies that that came before. There was bruce Bruce Lee and Jackie Chan is Jackie Chan elements to elements to the fight scenes.The comedy was not over the top or too much or forced into areas to break up the heavy drama. Like the Cape in Dr. Strange whipping away the tear.Hoodnmobie, better than I expected."
99,"Entertaining movie ..worth it ..the bus scene ..oh boy ..on loop ..overall visual treat , neat cgi and enjoyable marvel movie ..you will love it ..don't miss it."
